"years","scenario","pop_size"
2023,"base",15
2024,"base",14
2025,"base",15.3333333333333
2026,"base",14.3333333333333
2027,"base",14
2028,"base",15.5
2029,"base",15.3333333333333
2030,"base",15.6666666666667
2031,"base",16.8333333333333
2032,"base",17.1666666666667
2033,"base",17.1666666666667
2034,"base",16.5
2035,"base",16.5
2036,"base",16.1666666666667
2037,"base",18
2038,"base",17.6666666666667
2039,"base",17
2040,"base",17.5
2041,"base",19.3333333333333
2042,"base",18.5
2043,"base",16.6666666666667
2044,"base",17.5
2045,"base",17.8333333333333
2046,"base",16.3333333333333
2047,"base",16
2048,"base",16.6666666666667
2049,"base",16.1666666666667
2050,"base",14.3333333333333
2051,"base",12.5
2052,"base",13.1666666666667
2053,"base",11.8333333333333
2023,"removed",15
2024,"removed",13.8333333333333
2025,"removed",14.8333333333333
2026,"removed",13.5
2027,"removed",13.1666666666667
2028,"removed",14.6666666666667
2029,"removed",15
2030,"removed",14.6666666666667
2031,"removed",15.6666666666667
2032,"removed",16
2033,"removed",16.1666666666667
2034,"removed",16.5
2035,"removed",16.3333333333333
2036,"removed",17
2037,"removed",17
2038,"removed",17
2039,"removed",16.3333333333333
2040,"removed",16.8333333333333
2041,"removed",17.3333333333333
2042,"removed",16.8333333333333
2043,"removed",16.3333333333333
2044,"removed",16.8333333333333
2045,"removed",16.1666666666667
2046,"removed",16.5
2047,"removed",16
2048,"removed",16.8333333333333
2049,"removed",17.1666666666667
2050,"removed",17.8333333333333
2051,"removed",16.6666666666667
2052,"removed",15.1666666666667
2053,"removed",14.1666666666667
2023,"HS",15
2024,"HS",15.1666666666667
2025,"HS",15.3333333333333
2026,"HS",15.6666666666667
2027,"HS",15.6666666666667
2028,"HS",17.1666666666667
2029,"HS",18.3333333333333
2030,"HS",20
2031,"HS",19
2032,"HS",18.3333333333333
2033,"HS",18.3333333333333
2034,"HS",19.1666666666667
2035,"HS",18.3333333333333
2036,"HS",20
2037,"HS",20.1666666666667
2038,"HS",18.8333333333333
2039,"HS",16.8333333333333
2040,"HS",17.5
2041,"HS",18.3333333333333
2042,"HS",19.8333333333333
2043,"HS",21.3333333333333
2044,"HS",22.1666666666667
2045,"HS",22.5
2046,"HS",22.8333333333333
2047,"HS",21.1666666666667
2048,"HS",23.5
2049,"HS",22.5
2050,"HS",22.8333333333333
2051,"HS",24.3333333333333
2052,"HS",25
2053,"HS",24.3333333333333
2023,"HS_max",15
2024,"HS_max",15.1666666666667
2025,"HS_max",15.3333333333333
2026,"HS_max",15.6666666666667
2027,"HS_max",15.6666666666667
2028,"HS_max",17.1666666666667
2029,"HS_max",18.3333333333333
2030,"HS_max",20
2031,"HS_max",19
2032,"HS_max",18.3333333333333
2033,"HS_max",18.3333333333333
2034,"HS_max",19.1666666666667
2035,"HS_max",18.3333333333333
2036,"HS_max",20
2037,"HS_max",20.8333333333333
2038,"HS_max",20.3333333333333
2039,"HS_max",18.3333333333333
2040,"HS_max",19
2041,"HS_max",19.8333333333333
2042,"HS_max",21.3333333333333
2043,"HS_max",22.8333333333333
2044,"HS_max",22.1666666666667
2045,"HS_max",22.5
2046,"HS_max",22.8333333333333
2047,"HS_max",21.1666666666667
2048,"HS_max",23.5
2049,"HS_max",22.5
2050,"HS_max",22.8333333333333
2051,"HS_max",24.3333333333333
2052,"HS_max",25
2053,"HS_max",24.3333333333333
